ID_SOAL;SOAL;JAWABAN_SISWA;GRADE-01;GRADE-02;GRADE-03
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner memungkinkan komputer untuk mengolah, menyimpan dan memanipulasi angka secara efisien;70;55;70
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Komputer menggunakan sistem biner, sehingga kita tau apa yang akan diproses dalam komputer;65;50;56
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Angka biner digunakan dalam komputer untuk komputasi Boolean, dan karena komputer merupakan alat digital yang hanya mengenal angka biner.;70;56;65
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep sistem bilangan biner sangat penting dalam ilmu komputer karena komputer hanya dapat memahami dua angka, yaitu 0 dan 1. Angka-angka ini mewakili dua keadaan dasar, yaitu on (1) dan off (0), yang digunakan untuk menyimpan dan memproses informasi. Semua data di komputer, seperti teks, gambar, dan suara, diubah menjadi bentuk biner agar bisa diproses. Selain itu, operasi dasar seperti penjumlahan, pengurangan, dan pengambilan keputusan dalam program juga menggunakan bilangan biner. Memori komputer dan perangkat keras, seperti transistor, bekerja dengan prinsip biner untuk menyimpan data dan menjalankan perintah. Dengan demikian, bilangan biner menjadi dasar utama dalam semua proses yang terjadi di dalam komputer;85;90;87,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;tidak tahu;0;0;0
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;representasi informasi menggunakan 1 dan 0;65;56;60,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner digunakan untuk merepresentasikan informasi dan instruksi menggunakan dua nilai sederhana, yaitu 0 dan 1;80;56;73,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;bilangen biner dapat memudahkan dalam merepresentasikan data dengan hanya 2 nilai, yaitu 1 dan 0;65;56;59,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;konsep dasar sistem bilangan biner dalam ilmu komputer adalah untuk mempresentasikan angka dalam sistem komputer;65;60;64
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;bilangan biner digunakan untuk merepresentasikan informasi yang diberikan menggunakan 2 nilai yaitu 1 dan 0;70;60;73
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Setahu saya komputer dapat membaca data atau suatu input dengan hanya dua bilangan yaitu 0 dan 1 dan dari kombinasi tersebut dapat dialih bahasakan ke angka atau bilangan lain seperti desimal, oktal, BCD, dan lainnya, kombinasi dari bilangan2 itu disebut bilangan biner;70;75;68,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner bisa dimanfaatkan untuk gerbang logika didalam komputer (integrated circuit) dan bisa juga dimanfaatkan untuk transmisi jaringan;60;60;53,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Memungkinkan perangkat elektronik merepresentasikan informasi dan instruksi dengan binary digit 0 atau 1;75;70;70,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;hanya dengan 2 bilangan, tanda, dan signal, yakni high and low atau 1 and 0;70;60;61,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep bilangan biner sebagai dasar representasi data dan operasi logika. Sistem biner hanya menggunakan dua angka, yaitu 0 dan 1, yang sesuai dengan dua kondisi dalam sistem elektronik, yaitu mati (off) dan hidup (on).;75;80;77,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;konssep dasar sistem bilangan biner digunakan saat representasi data. Semua jenis data dalam komputer, seperti angka, teks, gambar, dan suara, direpresentasikan dalam bentuk bit (binary digit), yang hanya memiliki dua nilai: 0 atau 1;80;80;80,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;.....;0;0;0
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem bilangan biner sangat esensial dalam beroperasinya suatu sistem komputasi. sejatinya, segala sesuatu program yang kita jalankan itu semuanya akan dikompilasi dengan compiler masing-masing ke dalam bahasa mesin atau bilangan biner. sehingga bilangan biner sendiri merupakan bilangan pada layer akhir sebagai “istruksi langsung”;60;56;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner digunakan sebagai sebuah state logika, yang mana semua data akan direpresentasikan dengan angka 0 atau 1 setelah dikonversikan, data biner tersebut lalu akan digunakan oleh komputer;65;60;64,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;bilangan biner digunakan dalam dasar pembuatan kompuuter yaitu dalam mengatur logika logika komputasi karena dapat diimplementasikan dalam sirkuit riil sehinga bilangan biner merupakan dasar bilanggan dari ilmu komputer;65;60;69
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar bilangan biner dalam ilmu komputer merupakan susunan dari 0 (low) dan 1(high). Yang berulang dan bertambah seiring berjalannya angka;65;56;62
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner sangat penting dalam ilmu komputer karena digunakan sebagai dasar untuk representasi data dan operasi dalam perangkat keras komputer.;75;60;67,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;menggunakan angka 0 dan 1 untuk merepresentasikan data dengan 1 bernilai True dan 0 bernilai False. ;70;60;70,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar bilangan biner digunakan oleh mesin dalam komputer untuk nantinya dibaca dan diterjermahkan sehingga bisa melakukan suatu tugas sesuai dengan kode biner. Kode biner sendiri bisa dibuat oleh manusia dengan beberapa rumus misalnya 1 = 0001, dan lainnya.;70;90;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner sangat penting bagi berjalanya sistem yang ada di komputer, komputer menggunakan bilangan ini untuk menyederhankan proses program didalamnya sehingga hanya merupakkan kombinasi 2bilangan 0 Dan 1 selain itu, bilangan biner ini juga flexible digunakkkan karena bisa memprese tasikan inputan lainya seperti, HIGH dan LOW, On Dan Off, Dan sebagainya lagi;70;70;73
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar bilangan biner dalam ilmu komputer digunakan untuk mempresentasikan suatu data ataupun instruksi;70;60;69,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;untuk merepresentasikan data dan instruksi (yes or no/1 or 0);65;60;62,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sebagai dasar operasi dan hanya mengoperasikan data dengan 0 dan 1;60;70;59
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner berguna sebagai representasi yang paling efisien di penyimpanan memori yang menggunakan konsep bit yaitu 0 dan 1. Data dalam bentuk tersederhananya dalam komputer adalah sistem biner.;75;56;80,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer untuk mengkodekan data hanya dengan 0 dan 1.;75;60;72,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Dasar sistem bilangan biner digunakan untuk merepresentasikan informasi atau instruksi dengan menggunakan 2 nilai, yaitu 0 dan 1;75;56;71,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner digunakan sebagai bahasa yang dapat dimengerti oleh mesin. Manusia membuat bahasa mesin melalu bahasa pemrograman seperti Assembly yang dekat dengan mesin sampai Python yang abstraksinya tinggi.;60;56;67
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner digunakan untuk menentukan nyala matinya sebuah input yang berpengaruh pada outputnya. Biner terdiri dari 0 dan 1 dimana setiap susunan yang berbeda akan memberikan output yang berbeda. ;60;65;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep bilangan biner dijadikan sebagai basis dijalankannya komputer. Artinya, segala macam proses kerja yang dijalankan oleh komputer, dilakukan dalam sistem bilangan biner, yaitu digit 0 dan 1. Karena itu, segala macam file yang tersimpan pada komputer juga dikodekan dalam bentuk biner.;65;60;69
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep bilangan biner dapat diaplikasikan dalam ASCII code, di mana setiap karakter yang terdapat pada keyboard terdapat indeks yang terkonversi ke biner. Data yang dikirim melalui jaringan juga dikodekan dalam bentuk biner.;65;60;66
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner dalam ilmu komputer bisa diibaratkan sebagai suatu bahasa. Bahasa tersebut yang nantinya bisa merepresentasikan, menyimpan, dan bahkan melakukan logic operation pada suatu data. Sistem bilangan biner sendiri ada 2 yaitu 1 yang bisa dikatakan “True” dan 0 yang bisa dikatakan “False”.;70;80;65
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer karena komputer hanya mengenali dua keadaan, yaitu 0 dan 1. Semua data, seperti teks, gambar, dan suara, dikodekan dalam bentuk biner agar bisa diproses. Operasi logika seperti AND, OR, dan NOT juga bekerja dengan angka biner untuk menjalankan perhitungan serta pengolahan data. Selain itu, penyimpanan dalam memori dan media penyimpanan juga menggunakan sistem biner dengan kombinasi bit dan byte. Dengan cara ini, komputer dapat menjalankan berbagai tugas secara efisien.;80;100;81,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bahasa komputer hanya memiliki 2 state, yaitu tegangan tinggi atau rendah. Kombinasi tegangan tinggi dan rendah ini dihubungkan dengan kabel secara seri atau paralel atau kombinasi sehingga menghasilkan output yang diinginkan. Kondisi tegangan tinggi atau rendah ini dinyatakan dengan 1 dan 0 dan konfigurasi kabelnya dinyatakan dalam gate gate yang dipelajari dalam dasar sistem ini.;65;65;70
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;memungkinkan perangkat elektronik untuk merepresentasikan data dan instruksi, serta melakukan operasi logika dengan cara yang efisien;70;60;73
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;untuk menghemat biaya komputasi sebuah komputer, bahasa yang dapat dibaca oleh komputer adalah bahasa biner;60;55;53,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner merupakan dasar dalam ilmu komputer karena komputer hanya mengenali dua keadaan, yaitu 1 dan 0. Dalam prosesnya, semua data seperti teks, gambar, dan suara dikodekan dalam bentuk biner. Selain itu, operasi logika dan aritmetika di CPU juga menggunakan bilangan biner, begitu pula dengan sistem alamat dalam memori. Pemrograman tingkat rendah pun bekerja dengan instruksi berbasis biner, sehingga sistem ini menjadi kunci dalam kinerja komputer.;75;100;74,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner adalah sistem yang hanya menggunakan dua angka, yaitu 0 dan 1. Dalam ilmu komputer, bilangan biner digunakan sebagai dasar penyimpanan dan pemrosesan data karena komputer hanya mengenali dua kondisi listrik, yaitu ON (1) dan OFF (0).;75;90;73,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistemnya high and low. Dan digunakan dalam ic untuk menyalakan dan mematikan transistor;60;70;52,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner digunakan dalam ilmu komputer karena komputer hanya mengenali dua keadaan, yaitu nyala (1) dan mati (0). Semua data dan instruksi yang diproses oleh komputer dikodekan dalam kombinasi angka 0 dan 1 ini. Dalam perangkat keras, bilangan biner digunakan untuk merepresentasikan berbagai jenis informasi seperti teks, gambar, suara, dan perintah program. Selain itu, operasi aritmetika dan logika dalam prosesor juga bekerja berdasarkan manipulasi bit dalam sistem biner. Memori dan penyimpanan data pun menggunakan bilangan biner untuk mengorganisir serta mengakses informasi dengan lebih efisien. Oleh karena itu, sistem bilangan biner menjadi dasar utama dalam cara kerja komputer modern.;85;100;88
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;untuk merepresentasikan informasi dan instruksi menggunakan dua nilai, yaitu 0 dan 1.;75;70;77
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan yang diubah basisnya menjadi sebuah bilangan yang terdiri dari 1 dan 0, untuk kemudian dibaca oleh komputer;65;75;70,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Komputer bekerja menggunakan transistor yang hanya bisa melakukan operasi dan membaca instruksi dalam bit 1 dan 0;70;75;74
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;"Sistem bilangan biner itu ibarat ""bahasa ibu""-nya komputer. Kenapa? Karena semua data dan instruksi dalam komputer dikodekan dalam bentuk 0 dan 1, alias sistem bilangan basis 2. Jadi, kalau dalam dunia manusia kita biasa pakai sistem desimal (basis 10) dengan angka 0-9, komputer cuma ngerti dua kondisi: ada arus listrik (1) atau nggak ada arus listrik (0). Makanya, semua operasi komputasi, dari penyimpanan data, pemrosesan, sampai komunikasi antar perangkat, semuanya berbasis bilangan biner.";70;100;73,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Untuk mengirimkan data yang lebih cepat dan mudah diterima oleh komputer.;60;50;58
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;memiliki dua nilai sederhana, 0 dan 1 yang mana satu itu berarti menyala, sedangkan 0 itu mati;65;56;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem bilangan biner hanya terdiri dari dua angka yaitu 1 dan 0. angka satu merepresentasikan logika HIGH (tegangan tinggi) dan angka 0 merepresentasikan logika LOW (0 tegangan);65;56;63,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer karena komputer beroperasi dengan sinyal **ON (1) dan OFF (0)**. Data seperti angka, teks, dan gambar direpresentasikan dalam biner agar dapat diproses oleh prosesor dan disimpan dalam memori. Selain itu, operasi logika dan transmisi data juga bergantung pada sistem biner, menjadikannya dasar utama dalam komputasi modern.;70;95;72,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep bilangan biner sangat penting dalam dunia komputasi karena memungkinkan perangkat elektronik untuk merepresentasikan informasi dan instruksi menggunakan dua nilai sederhana, yaitu 0 dan 1.;70;70;72,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner digunakan untuk merepresentasikan karakter kedalam ASCII;70;50;66
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner adalah dasar dari komputasi digital karena komputer hanya memahami dua keadaan, yaitu 0 dan 1, yang direpresentasikan sebagai sinyal listrik rendah dan tinggi. Semua data dan instruksi dalam komputer, termasuk teks, gambar, dan suara, dikodekan dalam bentuk biner menggunakan kombinasi bit (binary digit). Operasi logika dan aritmetika dalam prosesor juga dilakukan berdasarkan prinsip bilangan biner melalui gerbang logika seperti AND, OR, dan XOR. Selain itu, sistem penyimpanan, transmisi data, dan pemrograman tingkat rendah seperti assembly juga bergantung pada representasi biner untuk efisiensi dan kompatibilitas perangkat keras.;90;100;89,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer karena semua data dan operasi dalam komputer direpresentasikan dalam bentuk 0 dan 1. Sistem ini digunakan dalam: 1. Representasi Data – Semua teks, gambar, dan suara dikodekan dalam bentuk biner. 2. Operasi Logika & Sirkuit Digital – Komputer menggunakan gerbang logika (AND, OR, NOT) untuk memproses data. 3. Pemrograman & Algoritma – Operasi bitwise digunakan dalam pemrograman dan enkripsi data. 4. Alamat Memori & Penyimpanan – Data disimpan dalam bentuk bit dan byte di memori komputer. 5. Jaringan & Komunikasi – Sinyal digital dalam jaringan dikodekan dalam format biner. 6. Pemrosesan & Komputasi – CPU menjalankan instruksi berbasis biner dalam bahasa mesin. Sistem biner digunakan karena dapat dengan mudah direpresentasikan dalam bentuk sinyal listrik (ON = 1, OFF = 0), memungkinkan komputer bekerja secara efisien.;85;100;90,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner, yang menggunakan 0 dan 1, adalah fondasi ilmu komputer karena memungkinkan perangkat elektronik untuk merepresentasikan data dan instruksi, serta melakukan operasi logika dengan cara yang efisien.;70;65;68,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;bioangan biner digunakan untuk transmisi data sebab komputer hanya bisa membaca data biner;60;55;63,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer sebagai basis perhitungan dan penyimpanan data, karena komputer hanya mengenali dua keadaan listrik: 0 dan 1. Semua operasi komputasi dikodekan dalam bentuk biner untuk diproses oleh prosesor.;70;80;75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner dalam ilmu komputer adalah dengan membuat suatu bilangan desimal menjadi bernilai 0 dan 1 yang disusun sedemikian rupa membentuk 2^n secara bertingkat dalam kelipatan angka mulai dr 0 hingga n;65;65;70
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Pengelompokan biner dalam komputer selalu berjumlah 8, dengan istilah 1 Byte/bita. Dalam istilah komputer, 1 Byte = 8 bit. Kode-kode rancang bangun komputer, seperti ASCII (American Standard Code for Information Interchange) menggunakan sistem peng-kode-an 1 Byte. Penulisan biner dalam komputer biasanya dikelompokkan per 4 bilangan, misalnya 1010 0001.;60;60;61,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner menjadi angka pilihan komputer sebagai representasi baik boolean, float, ataupun integer (biasanya notasi 64-bit misalnya dalam sistem operasi merepresentasikan berapa banyak bilangan biner signed (negatif ke positif) yang bisa diproses dalam sistem operasi/perangkat tersebut);60;55;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner digunakan untuk melambangkan HIGH (1) dan LOW(0) dari input dan output;65;55;58,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;digunakan dalam ilmu komputer sebagai logicstate karena komputer hanya dapat memahami “ya/1” atau “tidak/0” yang diimplementasikan dalam wujud voltase.;60;75;65
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner biasa digunakan untuk merangkai logika, kalkulasi, dan banyak hal lainnya yang masuk ke dalam ilmu dasar komputer.;75;60;81,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam ilmu komputer sebagai pengganti sebuah data dalam bentuk angka (0 dan 1) karena komputer hanya bisa mengerti 2 angka tersebut. Sebuah data akan di konversi menjadi biner agar dapat dimengerti komputer;75;70;76,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;biner berfungsi untuk mereprsentasikan data;60;55;53
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;konsep dasar dari bilangan biner adalah angka 1 dan 0. Angka 1 dan 0 memiliki arti nya masing masing, seperti angka 1 adalah angka yang melambangkan true, dan angka 0 adalah yang melambangkan false;65;55;70,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;"Bilangan biner digunakan dalam ilmu komputer selain sebagai sistem True or False juga sebagai kode yang ditentukan untuk sebuah fungsi ataupun karakter. Misalkan sistem ascii dimana karakter memiliki kode biner yang merupakan penanda bahwa karakter tersebut sedang dipanggil atau jika sebuah fungsi dipanggil. Kode biner digunakan bagaikan ""alamat"" dalam kasus ini.";60;55;63
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner digunakan untuk merepresentasikan data atau instruksi yang diterima agar lebih efisien. Karena angka yang digunakan hanya 1 dan 0;70;55;65
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem biner digunakan supaya komputer bisa membaca angka dan huruf manusia.;65;60;63,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;representasi data menggunakan kode ASCII atau unicode;60;55;52,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Angka biner merupakan alat instruksi untuk mengoperasikan komputer, terdiri dari angka 0 dan 1. Simbol 0 dan simbol 1 sering disebut sebagai false(0) dan true(1).;75;55;77
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner adalah sebuah bilangan yang hanya punya dua angka yaitu 1 dan 0, 1 bertindak sebagai sinyal HIGH dan 0 bertindak sebagai sinyal LOW. Biner digunakan di dalam komputer karena bilangan ini hanya punya dua kondisi.;70;55;73,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner merupakan bilangan berbasis 2 yang digunakan dalam operasi komputer. Artinya, komputer hanya membaca nilai antara benar atau salah. Operasi dasar biner meliputi AND, OR, dan NOT.;70;60;72
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Dalam bilangan biner, 0 adalah ketika tidak adanya angka 2, 1 ada angka 2. Sistem bilangan ini berbasis 2, dan ini merupakan bahasa utama dari komputer.;70;50;74,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner adalah sistem bilangan yang memiliki basis 2, yaitu terdiri dari angka 0 dan 1 , jadi tidak ada angka 2,3,4 dan seterusnya. Bilangan biner ini adalah bahasa utama yag digunakan dan bisa dipahami oleh komputer dalam pengoperasiannya. Bilangan biner ini biasa direpresentasikan dengan on/off dan biasanya dapat kita terapkan pada operasi aritmatika, konversi bilangan dan bisa juga dalam penyusunan gerbang logika.;70;70;65,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Komputer memproses data sesuai dengan prinsip dasar perangkat elektronik, yaitu dengan 1 (hidup) dan 0 (mati). Dengan prinsip ini, bilangan biner digunakan untuk mempermudah proses komputasi agar lebih sederhana dan efisien.;65;70;65,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner membuat perangkat elektronik dapat memberi dengan 2 nilai saja yaitu 0 dan 1;65;60;60,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Bilangan biner adalah representasi sebuah data atau bilangan dalam bentuk 0 atau 1. Bilangan biner digunakan sebagai representasi data dengan format yang dapat dimengerti oleh mesin. Penggunaan bilangan biner diterapkan saat menulis sebuah program dan pengembangan software didalam komputer;70;70;68,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Ilmu komputer menggunakan sistem bilangan biner, dimana memiliki anggota 1 dan 0. Semua data, instruksi, dan operasi dalam komputer dikodekan dalam bentuk biner, mulai dari penyimpanan informasi, pemrosesan data, hingga komunikasi antar perangkat. Misalnya, dalam pemrograman, angka, huruf, dan bahkan gambar diubah menjadi kombinasi angka biner agar bisa dipahami oleh prosesor. Selain itu, operasi logika seperti AND, OR, dan NOT dalam sirkuit digital juga bekerja berdasarkan prinsip bilangan biner.;80;90;76,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;dasar sistem digital merupakan dasar dari ilmu komputer;65;55;60,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem bilangan biner terdiri dari dua angka, yaitu 0 dan 1, yang digunakan dalam ilmu komputer karena sesuai dengan sistem digital elektronik. Komputer menyimpan, memproses, dan mentransmisikan data menggunakan bilangan biner melalui sinyal listrik yang mewakili dua keadaan: mati (0) dan hidup (1).;75;75;73,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem bilangan biner digunakan di komputer, dimana komputer hanya dapat membaca bilangan biner;60;75;55
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Komputer menggunakan bilangan biner (0 dan 1) karena sistem digital hanya mengenali dua kondisi, yaitu nyala (1) dan mati (0). Semua data dan perintah dikodekan dalam bentuk ini agar dapat diproses oleh perangkat keras.;75;85;79,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Merepresentasikan data;60;55;61
